horizon_hours,feature,importance
8,RTD_ALUM,0.016496114432811737
8,NTU_ROLL_STD_12H,0.015719542279839516
8,R_W_FLOW_LAG_12H,0.015548932366073132
8,RTD_FILT_NTU,0.015336775220930576
8,FILT_NTU_LAG_18H,0.014667241834104061
8,R_W_NTU_LAG_4H,0.013531251810491085
8,R_W_FLOW_LAG_4H,0.01272314228117466
8,R_W_FLOW_LAG_6H,0.012534930370748043
8,COS_HOUR,0.012434247881174088
8,NTU_LAG_10H,0.012287790887057781
8,NTU_LAG_6H,0.012143081054091454
8,FILT_NTU_ROLL_MEAN_12H,0.011910807341337204
8,NTU_DIFF_2H,0.011835667304694653
8,R_W_FLOW_ROLL_MEAN_12H,0.011194315738976002
8,FILT. NTU,0.010997457429766655
8,FILT_NTU_ROLL_STD_12H,0.010858416557312012
8,R/W NTU,0.0107292914763093
8,FILT_NTU_LAG_2H,0.01071529183536768
8,R_W_NTU_LAG_8H,0.010354369878768921
8,NTU_LAG_24H,0.01023078989237547
8,R_W_FLOW_LAG_2H,0.008921412751078606
8,NTU_LAG_12H,0.008337252773344517
8,R_W_NTU_ROLL_STD_12H,0.008336939848959446
8,ALUM_LAG_24H,0.008251863531768322
8,NTU_LAG_8H,0.008199959062039852
8,R_W_NTU_ROLL_MEAN_12H,0.008188670501112938
8,PHYS_BASE_NTU,0.008183946833014488
8,ALUM_LAG_12H,0.007839403115212917
8,RTD_R_W_NTU,0.007559876888990402
8,ALUM_DIFF_2H,0.0075278435833752155
8,FILT_NTU_LAG_8H,0.0073992349207401276
8,ALUM,0.007323634810745716
8,R_W_NTU_LAG_6H,0.006908748764544725
8,R_W_NTU_DIFF_2H,0.006822278723120689
8,R_W_NTU_LAG_10H,0.006809627637267113
8,NTU_LAG_18H,0.005968880839645863
8,FILT_NTU_LAG_10H,0.005781302694231272
8,R_W_FLOW_LAG_8H,0.005678100977092981
8,RIVER LEVEL,0.005327685736119747
8,R_W_FLOW_DIFF_2H,0.005220846738666296
8,RTD_NTU,0.004604635294526815
8,ALUM_LAG_8H,0.004429503809660673
8,R_W_NTU_LAG_2H,0.004301425535231829
8,R_W_NTU_LAG_18H,0.004078117199242115
8,FILT_NTU_LAG_12H,0.004045790061354637
8,ALUM_LAG_4H,0.003642462659627199
8,SIN_HOUR,0.003274903167039156
8,FILT_NTU_LAG_24H,0.0032721783500164747
8,R_W_NTU_LAG_12H,0.0030227936804294586
8,C/W WELL LEVEL,0.0025620257947593927
