origin_datetime,horizon_hours,scenario,predicted_NTU,delta_vs_baseline,elasticity
2026-02-01 07:00:00,10,alum_plus_10pct,0.3518710136413574,0.0,0.0
2026-02-01 07:00:00,10,alum_minus_10pct,0.3518710136413574,0.0,-0.0
2026-02-01 07:00:00,12,baseline,0.3194718062877655,0.0,
2026-02-01 07:00:00,12,raw_NTU_plus_20pct,0.3194718062877655,0.0,0.0
2026-02-01 07:00:00,12,raw_NTU_plus_50pct,0.3194718062877655,0.0,0.0
2026-02-01 07:00:00,12,alum_plus_10pct,0.3194718062877655,0.0,0.0
2026-02-01 07:00:00,12,alum_minus_10pct,0.3194718062877655,0.0,-0.0
2026-02-10 07:00:00,2,baseline,0.1943579465150833,0.0,
2026-02-10 07:00:00,2,raw_NTU_plus_20pct,0.1943579465150833,0.0,0.0
2026-02-10 07:00:00,2,raw_NTU_plus_50pct,0.1943579465150833,0.0,0.0
2026-02-10 07:00:00,2,alum_plus_10pct,0.1943579465150833,0.0,0.0
2026-02-10 07:00:00,2,alum_minus_10pct,0.1943579465150833,0.0,-0.0
2026-02-10 07:00:00,4,baseline,0.1942707896232605,0.0,
2026-02-10 07:00:00,4,raw_NTU_plus_20pct,0.1942707896232605,0.0,0.0
2026-02-10 07:00:00,4,raw_NTU_plus_50pct,0.1942707896232605,0.0,0.0
2026-02-10 07:00:00,4,alum_plus_10pct,0.1942707896232605,0.0,0.0
2026-02-10 07:00:00,4,alum_minus_10pct,0.1942707896232605,0.0,-0.0
2026-02-10 07:00:00,6,baseline,0.19514979422092438,0.0,
2026-02-10 07:00:00,6,raw_NTU_plus_20pct,0.19514979422092438,0.0,0.0
2026-02-10 07:00:00,6,raw_NTU_plus_50pct,0.19514979422092438,0.0,0.0
2026-02-10 07:00:00,6,alum_plus_10pct,0.19514979422092438,0.0,0.0
2026-02-10 07:00:00,6,alum_minus_10pct,0.19514979422092438,0.0,-0.0
2026-02-10 07:00:00,8,baseline,0.18995144963264465,0.0,
2026-02-10 07:00:00,8,raw_NTU_plus_20pct,0.18995144963264465,0.0,0.0
2026-02-10 07:00:00,8,raw_NTU_plus_50pct,0.18995144963264465,0.0,0.0
2026-02-10 07:00:00,8,alum_plus_10pct,0.18995144963264465,0.0,0.0
2026-02-10 07:00:00,8,alum_minus_10pct,0.18995144963264465,0.0,-0.0
2026-02-10 07:00:00,10,baseline,0.1810772866010666,0.0,
2026-02-10 07:00:00,10,raw_NTU_plus_20pct,0.1810772866010666,0.0,0.0
2026-02-10 07:00:00,10,raw_NTU_plus_50pct,0.1810772866010666,0.0,0.0
2026-02-10 07:00:00,10,alum_plus_10pct,0.1810772866010666,0.0,0.0
2026-02-10 07:00:00,10,alum_minus_10pct,0.1810772866010666,0.0,-0.0
2026-02-10 07:00:00,12,baseline,0.17653314769268036,0.0,
2026-02-10 07:00:00,12,raw_NTU_plus_20pct,0.17653314769268036,0.0,0.0
2026-02-10 07:00:00,12,raw_NTU_plus_50pct,0.17653314769268036,0.0,0.0
2026-02-10 07:00:00,12,alum_plus_10pct,0.17653314769268036,0.0,0.0
2026-02-10 07:00:00,12,alum_minus_10pct,0.17653314769268036,0.0,-0.0
2026-02-20 07:00:00,2,baseline,0.16064487397670746,0.0,
